output,model,alpha,r_m,Ne,pi,mu,length,track_length,nsample
r001,kingman,,0.0,,0.03,6e-10,5000000,5000,500
r002,kingman,,0.01,,0.03,6e-10,5000000,5000,500
r003,kingman,,0.05,,0.03,6e-10,5000000,5000,500
r004,kingman,,0.1,,0.03,6e-10,5000000,5000,500
r005,kingman,,0.15,,0.03,6e-10,5000000,5000,500
r006,kingman,,0.2,,0.03,6e-10,5000000,5000,500
r007,kingman,,0.25,,0.03,6e-10,5000000,5000,500
r008,kingman,,0.3,,0.03,6e-10,5000000,5000,500
r011,beta,1.8,0.0,,0.03,6e-10,5000000,5000,500
r012,beta,1.8,0.1,,0.03,6e-10,5000000,5000,500
r013,beta,1.8,0.25,,0.03,6e-10,5000000,5000,500
r014,beta,1.5,0.0,,0.03,6e-10,5000000,5000,500
r015,beta,1.5,0.1,,0.03,6e-10,5000000,5000,500
r016,beta,1.5,0.25,,0.03,6e-10,5000000,5000,500
r017,beta,1.2,0.0,,0.03,6e-10,5000000,5000,500
r018,beta,1.2,0.1,,0.03,6e-10,5000000,5000,500
r019,beta,1.2,0.25,,0.03,6e-10,5000000,5000,500
r020,beta,1.1,0.0,,0.03,6e-10,5000000,5000,500
r021,beta,1.1,0.1,,0.03,6e-10,5000000,5000,500
r022,beta,1.1,0.25,,0.03,6e-10,5000000,5000,500
r023,beta,1.1,0.1,,0.03,6e-10,5000000,5000,500
